CNN(
  (conv1): Conv2d(3, 10, kernel_size=(3, 3), stride=(1, 1))
  (pool): MaxPool2d(kernel_size=3, stride=3, padding=0, dilation=1, ceil_mode=False)
  (linear1): Linear(in_features=54760, out_features=46, bias=True)
)
Train Epoch: 1 [0/78200 (0%)]	Train Loss: 3.839158	Val Loss: 5.089651	Val Acc: 3
Train Epoch: 1 [5120/78200 (7%)]	Train Loss: 2.556013	Val Loss: 2.649903	Val Acc: 39
Train Epoch: 1 [10240/78200 (13%)]	Train Loss: 1.697216	Val Loss: 1.744099	Val Acc: 54
Train Epoch: 1 [15360/78200 (20%)]	Train Loss: 1.509829	Val Loss: 1.498025	Val Acc: 60
Train Epoch: 1 [20480/78200 (26%)]	Train Loss: 1.283703	Val Loss: 1.299059	Val Acc: 63
Train Epoch: 1 [25600/78200 (33%)]	Train Loss: 1.261205	Val Loss: 1.256818	Val Acc: 66
Train Epoch: 1 [30720/78200 (39%)]	Train Loss: 1.142443	Val Loss: 1.161925	Val Acc: 69
Train Epoch: 1 [35840/78200 (46%)]	Train Loss: 1.199352	Val Loss: 1.171728	Val Acc: 68
Train Epoch: 1 [40960/78200 (52%)]	Train Loss: 1.249320	Val Loss: 1.127223	Val Acc: 68
Train Epoch: 1 [46080/78200 (59%)]	Train Loss: 1.228063	Val Loss: 1.061185	Val Acc: 70
Train Epoch: 1 [51200/78200 (65%)]	Train Loss: 1.105487	Val Loss: 1.060677	Val Acc: 71
Train Epoch: 1 [56320/78200 (72%)]	Train Loss: 1.062636	Val Loss: 1.041619	Val Acc: 72
Train Epoch: 1 [61440/78200 (78%)]	Train Loss: 1.086153	Val Loss: 1.085514	Val Acc: 70
Train Epoch: 1 [66560/78200 (85%)]	Train Loss: 0.987286	Val Loss: 1.089219	Val Acc: 71
Train Epoch: 1 [71680/78200 (92%)]	Train Loss: 1.083713	Val Loss: 1.084603	Val Acc: 71
Train Epoch: 1 [76800/78200 (98%)]	Train Loss: 1.171545	Val Loss: 0.990049	Val Acc: 72
Train Epoch: 2 [0/78200 (0%)]	Train Loss: 1.126870	Val Loss: 1.056484	Val Acc: 72
Train Epoch: 2 [5120/78200 (7%)]	Train Loss: 1.043416	Val Loss: 1.013026	Val Acc: 72
Train Epoch: 2 [10240/78200 (13%)]	Train Loss: 1.037594	Val Loss: 1.011295	Val Acc: 72
Train Epoch: 2 [15360/78200 (20%)]	Train Loss: 0.975296	Val Loss: 1.007630	Val Acc: 72
Train Epoch: 2 [20480/78200 (26%)]	Train Loss: 1.000558	Val Loss: 1.011374	Val Acc: 72
Train Epoch: 2 [25600/78200 (33%)]	Train Loss: 1.206364	Val Loss: 1.026746	Val Acc: 72
Train Epoch: 2 [30720/78200 (39%)]	Train Loss: 1.170312	Val Loss: 0.978776	Val Acc: 73
Train Epoch: 2 [35840/78200 (46%)]	Train Loss: 0.995093	Val Loss: 0.987963	Val Acc: 72
Train Epoch: 2 [40960/78200 (52%)]	Train Loss: 1.047651	Val Loss: 1.041479	Val Acc: 72
Train Epoch: 2 [46080/78200 (59%)]	Train Loss: 0.953834	Val Loss: 1.006849	Val Acc: 74
Train Epoch: 2 [51200/78200 (65%)]	Train Loss: 0.896763	Val Loss: 0.947734	Val Acc: 74
Train Epoch: 2 [56320/78200 (72%)]	Train Loss: 1.132884	Val Loss: 1.006295	Val Acc: 73
Train Epoch: 2 [61440/78200 (78%)]	Train Loss: 1.099638	Val Loss: 0.955443	Val Acc: 73
Train Epoch: 2 [66560/78200 (85%)]	Train Loss: 0.854845	Val Loss: 0.987326	Val Acc: 74
Train Epoch: 2 [71680/78200 (92%)]	Train Loss: 0.925597	Val Loss: 0.933966	Val Acc: 75
Train Epoch: 2 [76800/78200 (98%)]	Train Loss: 1.083448	Val Loss: 0.972911	Val Acc: 73
Train Epoch: 3 [0/78200 (0%)]	Train Loss: 0.857270	Val Loss: 0.976923	Val Acc: 73
Train Epoch: 3 [5120/78200 (7%)]	Train Loss: 0.972496	Val Loss: 0.959957	Val Acc: 74
Train Epoch: 3 [10240/78200 (13%)]	Train Loss: 0.982881	Val Loss: 0.934973	Val Acc: 74
Train Epoch: 3 [15360/78200 (20%)]	Train Loss: 0.875464	Val Loss: 0.960323	Val Acc: 74
Train Epoch: 3 [20480/78200 (26%)]	Train Loss: 1.166011	Val Loss: 0.956405	Val Acc: 73
Train Epoch: 3 [25600/78200 (33%)]	Train Loss: 0.972839	Val Loss: 0.918048	Val Acc: 75
Train Epoch: 3 [30720/78200 (39%)]	Train Loss: 1.018297	Val Loss: 0.908001	Val Acc: 74
Train Epoch: 3 [35840/78200 (46%)]	Train Loss: 0.981286	Val Loss: 0.917553	Val Acc: 75
Train Epoch: 3 [40960/78200 (52%)]	Train Loss: 0.900121	Val Loss: 0.948462	Val Acc: 73
Train Epoch: 3 [46080/78200 (59%)]	Train Loss: 1.034553	Val Loss: 0.986268	Val Acc: 73
Train Epoch: 3 [51200/78200 (65%)]	Train Loss: 0.948547	Val Loss: 0.894944	Val Acc: 75
Train Epoch: 3 [56320/78200 (72%)]	Train Loss: 0.989103	Val Loss: 0.928873	Val Acc: 74
Train Epoch: 3 [61440/78200 (78%)]	Train Loss: 0.882677	Val Loss: 0.939249	Val Acc: 74
Train Epoch: 3 [66560/78200 (85%)]	Train Loss: 0.928888	Val Loss: 0.836701	Val Acc: 78
Train Epoch: 3 [71680/78200 (92%)]	Train Loss: 0.873470	Val Loss: 0.910973	Val Acc: 75
Train Epoch: 3 [76800/78200 (98%)]	Train Loss: 0.974160	Val Loss: 0.863068	Val Acc: 77
Train Epoch: 4 [0/78200 (0%)]	Train Loss: 0.903212	Val Loss: 0.852405	Val Acc: 77
Train Epoch: 4 [5120/78200 (7%)]	Train Loss: 0.841597	Val Loss: 0.859362	Val Acc: 76
Train Epoch: 4 [10240/78200 (13%)]	Train Loss: 0.885239	Val Loss: 0.923362	Val Acc: 75
Train Epoch: 4 [15360/78200 (20%)]	Train Loss: 0.838657	Val Loss: 0.865712	Val Acc: 76
Train Epoch: 4 [20480/78200 (26%)]	Train Loss: 0.978620	Val Loss: 0.854270	Val Acc: 77
Train Epoch: 4 [25600/78200 (33%)]	Train Loss: 0.912286	Val Loss: 0.832058	Val Acc: 77
Train Epoch: 4 [30720/78200 (39%)]	Train Loss: 0.896953	Val Loss: 0.858496	Val Acc: 77
Train Epoch: 4 [35840/78200 (46%)]	Train Loss: 0.705622	Val Loss: 0.879004	Val Acc: 76
Train Epoch: 4 [40960/78200 (52%)]	Train Loss: 0.823400	Val Loss: 0.863211	Val Acc: 76
Train Epoch: 4 [46080/78200 (59%)]	Train Loss: 0.899430	Val Loss: 0.861095	Val Acc: 76
Train Epoch: 4 [51200/78200 (65%)]	Train Loss: 0.901990	Val Loss: 0.807135	Val Acc: 77
Train Epoch: 4 [56320/78200 (72%)]	Train Loss: 0.915458	Val Loss: 0.827104	Val Acc: 77
Train Epoch: 4 [61440/78200 (78%)]	Train Loss: 1.034153	Val Loss: 0.858296	Val Acc: 77
Train Epoch: 4 [66560/78200 (85%)]	Train Loss: 0.932337	Val Loss: 0.799813	Val Acc: 77
Train Epoch: 4 [71680/78200 (92%)]	Train Loss: 0.845560	Val Loss: 0.805232	Val Acc: 78
Train Epoch: 4 [76800/78200 (98%)]	Train Loss: 0.907630	Val Loss: 0.802959	Val Acc: 77
Train Epoch: 5 [0/78200 (0%)]	Train Loss: 0.731547	Val Loss: 0.858153	Val Acc: 77
Train Epoch: 5 [5120/78200 (7%)]	Train Loss: 0.793738	Val Loss: 0.779429	Val Acc: 79
Train Epoch: 5 [10240/78200 (13%)]	Train Loss: 0.693793	Val Loss: 0.832917	Val Acc: 78
Train Epoch: 5 [15360/78200 (20%)]	Train Loss: 0.754318	Val Loss: 0.750930	Val Acc: 80
Train Epoch: 5 [20480/78200 (26%)]	Train Loss: 0.864556	Val Loss: 0.815625	Val Acc: 78
Train Epoch: 5 [25600/78200 (33%)]	Train Loss: 0.834439	Val Loss: 0.755483	Val Acc: 78
Train Epoch: 5 [30720/78200 (39%)]	Train Loss: 0.838636	Val Loss: 0.750874	Val Acc: 80
Train Epoch: 5 [35840/78200 (46%)]	Train Loss: 0.874595	Val Loss: 0.757416	Val Acc: 79
Train Epoch: 5 [40960/78200 (52%)]	Train Loss: 0.701283	Val Loss: 0.761792	Val Acc: 79
Train Epoch: 5 [46080/78200 (59%)]	Train Loss: 0.803444	Val Loss: 0.774111	Val Acc: 79
Train Epoch: 5 [51200/78200 (65%)]	Train Loss: 0.766259	Val Loss: 0.729886	Val Acc: 80
Train Epoch: 5 [56320/78200 (72%)]	Train Loss: 0.768857	Val Loss: 0.739117	Val Acc: 79
Train Epoch: 5 [61440/78200 (78%)]	Train Loss: 0.776542	Val Loss: 0.718260	Val Acc: 80
Train Epoch: 5 [66560/78200 (85%)]	Train Loss: 0.863202	Val Loss: 0.695701	Val Acc: 82
Train Epoch: 5 [71680/78200 (92%)]	Train Loss: 0.740917	Val Loss: 0.676752	Val Acc: 82
Train Epoch: 5 [76800/78200 (98%)]	Train Loss: 0.755546	Val Loss: 0.622501	Val Acc: 83

test set: Average loss: 0.7432, Accuracy: 11094/13800 (80%)

